scenario,spot,volatility,rate,days_to_expiry,option_value,position_pnl
Base,200.0,0.25,0.05,182,95.60299998247243,0.0
Stock +10%,220.00000000000003,0.25,0.05,182,115.40347783544738,19800.47785297495
Stock -10%,180.0,0.25,0.05,182,75.80705273755271,-19795.947244919716
Vol +5 points,200.0,0.3,0.05,182,95.61022311574708,7.22313327464974
Vol -5 points,200.0,0.2,0.05,182,95.60243221096398,-0.5677715084431156
30 days later,200.0,0.25,0.05,152,95.50659362917789,-96.40635329454028
Rates +1 point,200.0,0.25,0.060000000000000005,182,96.11369417335374,510.69419088130985
