scenario,spot,volatility,rate,days_to_expiry,option_value,position_pnl
Base,100.0,0.25,0.05,182,5.520494749451025,0.0
Stock +10%,110.00000000000001,0.25,0.05,182,11.135367125035508,5614.872375584483
Stock -10%,90.0,0.25,0.05,182,2.071488826197573,-3449.0059232534522
Vol +5 points,100.0,0.3,0.05,182,6.912657169510219,1392.1624200591937
Vol -5 points,100.0,0.2,0.05,182,4.136724938698329,-1383.7698107526962
30 days later,100.0,0.25,0.05,152,4.835957594595655,-684.5371548553701
Rates +1 point,100.0,0.25,0.060000000000000005,182,5.722424901301885,201.93015185085983
